state,year,cpi,population,packs,income,price,salestax,cigtax
AL,1995,1.5239999294281006,4262731,101.08543395996094,83903280,158.371337890625,1.4046669006347656,40.500003814697266
AR,1995,1.5239999294281006,2480121,111.04296875,45995496,175.54251098632812,8.359169006347656,55.5
AZ,1995,1.5239999294281006,4306908,71.95417022705078,88870496,198.6074981689453,9.457496643066406,65.33332824707031
CA,1995,1.5239999294281006,31493524,56.85930633544922,771470144,210.50466918945312,13.771331787109375,61
CO,1995,1.5239999294281006,3738061,82.58292388916016,92946544,167.35000610351562,0,44
CT,1995,1.5239999294281006,3265293,79.4721908569336,104315120,218.28050231933594,12.355499267578125,74
DE,1995,1.5239999294281006,718265,124.46659851074219,18237436,165.60000610351562,0,48
FL,1995,1.5239999294281006,14185403,93.074554443359375,333525344,187.71717834472656,10.625503540039062,57.900001525878906
GA,1995,1.5239999294281006,7188538,97.47462463378906,159800448,156.5730743408203,1.4314155578613281,36
IA,1995,1.5239999294281006,2840860,92.40159606933594,60170928,190.88999938964844,9.089996337890625,60
ID,1995,1.5239999294281006,1165000,74.84978485107422,22868920,179.63751220703125,8.554168701171875,52
IL,1995,1.5239999294281006,11884935,83.26507568359375,304767456,198.47616577148438,11.2344970703125,68.00000762939453
IN,1995,1.5239999294281006,5791819,134.2583465576172,126525008,154.53375244140625,7.3587493896484375,39.5
KS,1995,1.5239999294281006,2586942,88.7534408569336,56626672,175.2100067138672,8.343334197998047,48
KY,1995,1.5239999294281006,3855248,172.6477813720703,74079712,145.97967529296875,8.26300048828125,27
LA,1995,1.5239999294281006,4327978,105.17613220214844,84572688,167.79534912109375,6.453666687011719,44
MA,1995,1.5239999294281006,6062335,76.62064361572266,170051568,217.10501098632812,10.338333129882812,75
MD,1995,1.5239999294281006,5023650,77.47354888916016,135115456,186.03375244140625,8.8587493896484375,60
ME,1995,1.5239999294281006,1237438,102.46977996826172,25045934,197.23065185546875,11.16400146484375,61
MI,1995,1.5239999294281006,9659871,81.38825225830078,231594240,240.84967041015625,13.633003234863281,99
MN,1995,1.5239999294281006,4605445,82.94529724121094,113216856,220.34866333007812,14.415336608886719,72
MO,1995,1.5239999294281006,5324610,122.45027923583984,117639672,157.23008728027344,1.3884162902832031,41.000003814697266
MS,1995,1.5239999294281006,2690788,105.58245086669922,46241956,169.22940063476562,11.071083068847656,42
MT,1995,1.5239999294281006,868522,87.1595687866211,16296835,156.2166748046875,0,42
NC,1995,1.5239999294281006,7185403,121.5380630493164,157633568,149.99400329589844,5.769001007080078,29
ND,1995,1.5239999294281006,641548,79.80696868896484,12243384,192.24867248535156,10.882003784179688,68
NE,1995,1.5239999294281006,1635142,87.27070617675781,36293064,182.1750030517578,8.6750030517578125,58
NH,1995,1.5239999294281006,1145604,156.3367462158203,28649564,166.64166259765625,0,49
NJ,1995,1.5239999294281006,7965523,80.371368408203125,233208576,203.08717346191406,11.495498657226562,64
NM,1995,1.5239999294281006,1682417,64.66886901855469,31716160,176.146240234375,8.387916564941406,45
NV,1995,1.5239999294281006,1525777,93.52611541748047,39377292,206.5991668701172,13.515830993652344,59
NY,1995,1.5239999294281006,18150928,70.81732177734375,503163328,221.85800170898438,8.532997131347656,80
OH,1995,1.5239999294281006,11155493,111.3801040649414,255312928,165.89125061035156,7.8995819091796875,48
OK,1995,1.5239999294281006,3265547,108.68010711669922,63333300,170.13499450683594,8.101665496826172,47
OR,1995,1.5239999294281006,3141421,92.15574645996094,71209312,190.3000030517578,0,62
PA,1995,1.5239999294281006,12044780,95.6430892944336,285923232,176.1631622314453,9.97149658203125,55
RI,1995,1.5239999294281006,989203,92.59980010986328,23786644,224.45924377441406,14.684249877929688,80
SC,1995,1.5239999294281006,3699943,108.08274841308594,72050072,152.81874084472656,7.2770843505859375,31
SD,1995,1.5239999294281006,728251,97.21923065185547,14454129,168.03799438476562,6.463001251220703,47
TN,1995,1.5239999294281006,5241168,122.32005310058594,114259984,167.06700134277344,12.37533187866211,37
TX,1995,1.5239999294281006,18679706,73.07930755615234,402096768,198.20233154296875,11.219001770019531,65
UT,1995,1.5239999294281006,1976774,49.27219772338867,37278220,180.97625732421875,8.617916107177734,50.5
VA,1995,1.5239999294281006,6601392,105.38687133789062,161441792,166.6612548828125,7.936250686645508,26.5000057220459
VT,1995,1.5239999294281006,582827,122.33475494384766,12448607,175.6387481689453,8.363750457763672,44
WA,1995,1.5239999294281006,5431024,65.53092193603516,129680832,239.10934448242188,15.642669677734375,80.5
WI,1995,1.5239999294281006,5137004,92.46634674072266,115959680,201.38125610351562,9.5895843505859375,62
WV,1995,1.5239999294281006,1820560,115.56883239746094,32611268,166.51718139648438,9.425498962402344,41
WY,1995,1.5239999294281006,478447,112.2381362915039,10293195,158.54165649414062,0,36
