Date,Receipts,Paid Attendance,Shows,Avg Ticket Price
5/1/2007,18.6859,259.181,36,72.1
6/1/2007,20.4195,281.296,36,72.59
6/1/2007,20.0656,271.121,34,74.01
6/1/2007,20.4281,272.258,33,75.03
6/1/2007,19.6621,263.937,31,73.5
7/1/2007,18.5471,252.339,29,74.5
7/1/2007,18.4206,236.118,27,78.01
7/1/2007,18.6971,235.814,27,79.29
7/1/2007,19.838,248.756,28,79.75
8/1/2007,18.4166,228.483,25,80.6
8/1/2007,18.2825,226.567,25,80.69
8/1/2007,17.8652,224.74,25,79.49
8/1/2007,16.195,202.309,22,80.05
9/1/2007,16.3232,200.45,21,81.43
9/1/2007,12.4829,158.183,21,78.91
9/1/2007,13.2313,174.971,23,75.62
9/1/2007,13.9584,183.636,24,76.01
10/1/2007,14.3296,187.818,24,76.2
10/1/2007,16.0449,204.293,25,78.54
10/1/2007,16.1729,210.571,27,76.8
10/1/2007,17.3821,226.011,29,76.91
11/1/2007,NA,225.905,29,77.34
11/1/2007,16.9973,236.084,34,72
11/1/2007,NA,159.678,35,69.98
11/1/2007,NA,146.135,28,63.59
12/1/2007,NA,157.122,29,75.24
12/1/2007,14.6261,185.169,34,78.99
12/1/2007,19.7096,254.081,34,77.57
12/1/2007,19.042,246.524,35,77.24
1/1/2008,21.0999,258.33,34,81.68
1/1/2008,NA,300.672,34,96.03
1/1/2008,20.7393,263.764,35,78.77
1/1/2008,15.4748,215.11,31,71.94
2/1/2008,16.2711,218.639,31,74.42
2/1/2008,14.4511,200.948,31,71.91
2/1/2008,NA,186.597,36,71.07
2/1/2008,NA,206.023,32,70.71
3/1/2008,NA,253.631,34,74.13
3/1/2008,NA,251.789,34,71.21
3/1/2008,NA,213.345,33,69.54
3/1/2008,NA,233.2,33,69.5
5/1/2006,18.4072,248.614,32,74.04
6/1/2006,18.1152,243.009,30,74.55
6/1/2006,19.5138,255.47,30,76.38
6/1/2006,18.641,249.64,29,74.67
6/1/2006,17.5541,233.734,27,75.05
7/1/2006,16.1619,213.849,26,75.1
7/1/2006,17.0159,221.61,25,76.78
7/1/2006,16.6649,215.746,24,77.24
7/1/2006,16.5649,215.374,24,77.27
8/1/2006,16.2365,209.932,24,77.34
8/1/2006,16.3029,210.385,24,77.49
8/1/2006,15.5021,199.733,23,77.61
8/1/2006,15.4114,199.256,23,77.34
9/1/2006,16.3163,209.388,23,77.92
9/1/2006,12.1098,154.716,20,78.27
9/1/2006,13.1531,171.017,20,76.91
9/1/2006,13.9269,179.533,23,77.57
10/1/2006,NA,240.152,24,76.43
10/1/2006,15.9728,198.224,25,80.58
10/1/2006,16.4737,211.902,26,77.74
10/1/2006,17.1688,224.206,27,76.58
11/1/2006,NA,239.08,30,74.11
11/1/2006,17.373,236.193,31,73.55
11/1/2006,19.2291,259.97,32,73.97
11/1/2006,18.6967,244.124,32,76.59
12/1/2006,23.4222,269.141,33,87.03
12/1/2006,19.8776,251.616,32,79
12/1/2006,21.2187,271.693,32,78.1
12/1/2006,20.3516,258.335,32,78.78
1/1/2006,20.4976,245.845,30,83.38
1/1/2007,NA,314.232,30,92.73
1/1/2007,19.5098,254.128,32,76.66
1/1/2007,17.3417,231.899,28,74.78
2/1/2007,14.7775,198.277,27,74.53
2/1/2007,14.4905,194.268,27,74.59
2/1/2007,13.8928,196.232,27,70.8
2/1/2007,14.4957,199.566,28,72.64
3/1/2007,17.2296,221.171,27,77.9
3/1/2007,18.2944,249.955,29,73.19
3/1/2007,15.38,214.013,30,71.86
3/1/2007,17.7409,247.434,31,71.7
4/1/2007,19.5766,250.425,29,78.17
4/1/2007,18.3463,233.061,30,78.72
4/1/2007,19.5848,252.013,32,77.71
4/1/2007,19.4535,256.198,33,75.93
5/1/2007,21.7175,272.738,34,79.63
5/1/2007,22.8968,299.117,38,76.55
5/1/2007,20.6534,278.326,38,74.2
5/1/2007,20.0948,266.067,37,75.52
6/1/2007,20.8585,272.599,37,76.52
6/1/2007,22.1877,283.315,36,78.87
